"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleantext","date","popular"
"4286","Good morning, #ISA2015. Grab your coffee and stop by our booth to say hello and browse new books. http://t.co/t6lk88FbjA",FALSE,2,NA,2015-02-19 13:50:14,FALSE,NA,"568407211291967488",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PrincetonUPress",2,FALSE,FALSE,NA,NA,"Good morning   ISA  Grab your coffee and stop by our booth to say hello and browse new books  ",2015-02-19 07:50:14,4
"4287","RT @caiwilkinson: Visit the Methods Cafe (#TB02) today at #ISA2015 to discuss different approaches with #CSS &amp; IR scholars Details at http:…",FALSE,0,NA,2015-02-19 13:49:15,FALSE,NA,"568406962724974592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustindeLeon09",1,TRUE,FALSE,NA,NA,"   Visit the Methods Cafe   TB  today at  ISA to discuss different approaches with  CSS  IR scholars Details at",2015-02-19 07:49:15,1
"4288","Be there #ISA2015 - for sharing stories &amp; strategies of Resisting #Everydaysexism in the Academy  on #TA29 this am http://t.co/KgFj3svh48",FALSE,5,NA,2015-02-19 13:48:51,FALSE,NA,"568406865299812352",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","ATRWibben",1,FALSE,FALSE,NA,NA,"Be there  ISA   for sharing stories  strategies of Resisting  Everydaysexism in the Academy  on  TA this am ",2015-02-19 07:48:51,6
"4289","RT @profsheehan: #Sheehan presenting at #ISA2015. Details @ http://t.co/NfJoCNyZqS @ISAnet @Iran_Policy #RegimeChange #Iran #terrorism http…",FALSE,0,NA,2015-02-19 13:48:28,FALSE,NA,"568406767975030784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","daryadelan52",81,TRUE,FALSE,NA,NA,"    Sheehan presenting at  ISA  Details   ",2015-02-19 07:48:28,81
"4290","RT @I_Solorio: If you are attending to #ISA2015, do not miss our panel on Mexico's #energy policy. http://t.co/0sI7K0LnTw",FALSE,0,NA,2015-02-19 13:46:19,FALSE,NA,"568406227270692864",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","helgej_",3,TRUE,FALSE,NA,NA,"   If you are attending to  ISA  do not miss our panel on Mexico s  energy policy  ",2015-02-19 07:46:19,3
"4291","If you’re tweeting from any FTGS #ISA2015 panels, remember to use the ISA2015  &amp; panel hashtags, and let us know so that we can retweet!",FALSE,0,NA,2015-02-19 13:45:07,FALSE,NA,"568405924009766912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ftgs_isa",0,FALSE,FALSE,NA,NA,"If youre tweeting from any FTGS  ISA panels  remember to use the ISA   panel hashtags  and let us know so that we can retweet ",2015-02-19 07:45:07,0
"4292","We are so mean&gt; RT @stephaniecarvin: @CUP_PoliSci confirms not interested in a book of my Mom's tweets. Heterodoxy triumphant AGAIN #isa2015",FALSE,0,NA,2015-02-19 13:43:44,FALSE,NA,"568405576453124096",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","d_mainwaring",0,FALSE,FALSE,NA,NA,"We are so mean gt      confirms not interested in a book of my Mom s tweets  Heterodoxy triumphant AGAIN  isa",2015-02-19 07:43:44,0
"4293","RT @Rout_PoliticsIR: Resilience Editor @DavidCh27992090 is at the Sovereignty And Self-Determination In Contemporary IR roundtable at 10.30…",FALSE,0,NA,2015-02-19 13:43:25,FALSE,NA,"568405496656474112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GentianZyberi",3,TRUE,FALSE,NA,NA,"   Resilience Editor  at the Sovereignty And Self Determination In Contemporary IR roundtable at  ",2015-02-19 07:43:25,3
"4294","Visit the Methods Cafe (#TB02) today at #ISA2015 to discuss different approaches with #CSS &amp; IR scholars Details at http://t.co/E2GaZlszJt",FALSE,1,NA,2015-02-19 13:43:07,FALSE,NA,"568405421729255425",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","caiwilkinson",1,FALSE,FALSE,NA,NA,"Visit the Methods Cafe   TB  today at  ISA to discuss different approaches with  CSS  IR scholars Details at ",2015-02-19 07:43:07,2
"4295","Dear New Orleans, please crank the heat up. I didn't come to NOLA just to hear how bad Russia is... #ISA2015 http://t.co/gfRN213uiO",FALSE,3,NA,2015-02-19 13:41:45,FALSE,NA,"568405075476942850",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Prof_Sav",1,FALSE,FALSE,NA,NA,"Dear New Orleans  please crank the heat up  I didn t come to NOLA just to hear how bad Russia is     ISA ",2015-02-19 07:41:45,4
